hanzi,pinyin,english,page
阿拉伯语,ālābóyǔ,Arabic,1
哎,āi,hey,1
哎呀,āiyā,oops,1
哀求,āiqiú,to beg,1
挨家挨户,āijiāāihù,every household,1
癌,ái,cancer,1
癌症,áizhèng,cancer,1
艾滋病,àizībìng,AIDS,1
唉,ài,ugh,1
爱不释手,àibúshìshǒu,to love something too much to part with it,1
爱理不理,àilǐbùlǐ,to look cold and indifferent; standoffish; aloof,1
爱面子,ài miànzi,to be concerned with saving face; to be sensitive about how one is regarded by others,1
爱惜,àixī,to cherish,1
碍事,àishì,to hinder,1
安定,āndìng,adj. stable; v. to stabilize,1
安抚,ānfǔ,to appease,1
安眠药,ānmiányào,sleeping pill,1
安宁,ānníng,peaceful,1
安稳,ānwěn,stable,1
安心,ānxīn,relieved,1
安逸,ānyì,easy and comfortable,1
按键,ānjiàn,button,1
按理说,ànlǐ shuō,according to principle; it is reasonable to say that,1
按说,ànshuō,in accordance with,1
案件,ànjiàn,case,1
暗地里,àndì∙lǐ,secretly,1
暗杀,ànshā,to assassinate,1
暗中,ànzhōng,secret,2
昂贵,ángguì,expensive,2
凹,āo,concave,2
熬,áo,to boil,2
熬夜,áoyè,to stay up,2
傲,ào,proud,2
傲慢,àomàn,arrogant,2
奥秘,àomì,mystery,2
奥运会,àoyùnhuì,Olympic Games,2
八卦,bāguà,gossip,2
巴不得,bābu∙dé,to be eager for; only too anxious (to do something),2
扒,bā,to pick up,2
芭蕾,bālěi,ballet,2
把柄,bǎbǐng,handle,2
把关,bǎguān,to check on,2
把手,bǎshou,handle,2
靶子,bǎzi,target,2
坝,bà,dam,2
罢免,bàmiǎn,to fire someone; to dismiss,2
罢休,bàxiū,to give up; to abandon (a goal),2
霸占,bàzhàn,to occupy,2
掰,bāi,to pry,2
白白,báibái,in vain,2
百分比,bǎifēnbǐ,percentage,2
百合,bǎihé,lily,2
百科全书,bǎikē quánshū,encyclopedia,2
柏树,bǎishù,cypress tree,2
摆放,bǎifàng,to place,2
摆平,bǎipíng,to set,2
摆设,bǎishe,decoration,3
拜会,bàihuì,to pay an official call; to visit in an official capacity,3
拜见,bàijiàn,to see,3
拜年,bàinián,to pay a New Year's call,3
拜托,bàituō,to ask someone to do something,3
扳,bān,to pull,3
颁布,bānbù,to promulgate,3
颁发,bānfā,to issue; to award,3
颁奖,bānjiǎng,to confer an award,3
斑点,bāndiǎn,spot,3
搬迁,bānqiān,to move,3
板块,bǎnkuài,section,3
办不到,bàn bu dào,not be able to do,3
半边天,bànbiāntiān,half of the sky; womenfolk,3
半场,bànchǎng,halftime,3
半岛,bàndǎo,peninsula,3
半路,bànlù,halfway,3
半数,bànshù,half,3
半途而废,bàntú'érfèi,give up halfway,3
半信半疑,bànxìnbànyí,to be doubtful,3
半真半假,bànzhēnbànjiǎ,not completely true,3
扮,bàn,to dress up,3
伴,bàn,v. to accompany; n. accompany,3
伴侣,bànlǚ,companion,3
伴随,bànsuí,to accompany,3
伴奏,bànzòu,to accompany (with musical instruments),3
拌,bàn,to mix,3
帮手,bāngshou,helper,3
绑,bǎng,to tie,3
绑架,bǎngjià,to abduct,3
榜样,bǎngyàng,example,4
棒球,bàngqiú,baseball,4
磅,bàng,(measure word) pound; lb.; n. scale,4
包袱,bāofu,burden,4
包容,bāoróng,to tolerate,4
包扎,bāozā,to bandage; to bind a wound,4
剥,bāo,to peel,4
煲,bāo,n. pot; v. to cook something in a pot for a long time; to slow-cook,4
饱和,bǎohé,to saturate,4
饱满,bǎomǎn,full,4
宝库,bǎokù,treasure-house,4
宝藏,bǎozàng,treasure,4
保管,bǎoguǎn,v. to keep someone or something under custody; n. custody,4
保姆,bǎomǔ,nanny,4
保暖,bǎonuǎn,to keep warm,4
保鲜,bǎoxiān,to preserve,4
保修,bǎoxiū,to warranty,4
保佑,bǎoyòu,to bless and protect,4
保障,bǎozhàng,v. to assure; n. assurance,4
保质期,bǎozhìqī,shelf life,4
保重,bǎozhòng,to take care of yourself,4
堡垒,bǎolěi,fortress,4
报,bào,to report,4
